KEY;x6;x5;x4;x3;x2;x;vakio
11_1_1;;;1,59744E-08;-4,02898E-06;0,000306735;-0,00143436;
11_3_1;;;;;1,26832E-05;0,004918816;-0,00558336
11_4_1;;-5,6567E-11;2,68088E-08;-4,47046E-06;0,000309313;-0,002155756;
11_5_1;;;8,64027E-09;-2,44674E-06;0,000208222;-0,001874473;
11_6_1;;;2,3226E-09;-8,44855E-07;9,34112E-05;-0,000306249;
21_1_1;;;;;2,84688E-05;0,002217829;
21_3_1;;;;4,11377E-07;-1,28696E-05;0,004023192;
21_4_1;;;;1,74878E-07;2,1433E-06;0,003063584;
21_5_1;;;;;2,95975E-05;0,001216703;
30_1_2;;;1,05251E-08;-1,84431E-06;0,000111383;0,0020946;
30_3_1;;;1,24516E-08;-2,2782E-06;0,000139882;0,001476584;
30_4_1;;;4,65771E-08;-7,53873E-06;0,000403328;-0,001992721;
30_5_1;;;3,15189E-08;-5,59226E-06;0,000327273;-0,001577504;
40_1_1;;;1,57722E-08;-2,24101E-06;0,000110108;0,002810703;
40_3_1;;;1,98849E-08;-2,79871E-06;0,000136;0,002459902;
40_4_1;8,911E-12;-2,2572E-09;2,12364E-07;-8,74277E-06;0,000144666;0,003794129;
99_1_1;;;1,39111E-07;-1,7704E-05;0,000751114;-0,003455387;
99_3_1;;;1,31046E-07;-1,6918E-05;0,000729782;-0,00341819;
99_4_1;;;6,80727E-08;-8,885E-06;0,000384224;0,001011494;
11_1_2;;;;;2,28933E-07;0,005217298;
11_3_2;;;;;;0,007090816;-0,074353181
11_4_2;;;;;2,45427E-05;0,003686749;
11_5_2;;;1,61551E-09;-6,66092E-07;8,2108E-05;-0,000430197;
11_6_2;;;8,47213E-10;-3,71415E-07;5,04613E-05;0,000491962;
21_1_2;;;;;4,16366E-05;0,001505043;
21_3_2;;;;;2,52295E-05;0,002417641;
21_4_2;;;;;1,92736E-05;0,002066915;
21_5_2;;;;;1,45562E-05;0,001716839;
30_1_2;;;1,75371E-08;-3,33069E-06;0,000208558;-8,05626E-05;
30_3_2;;;1,86638E-08;-3,61708E-06;0,000231239;-0,000631438;
30_4_2;;;1,7333E-08;-3,72622E-06;0,000264831;-0,002139238;
30_5_2;;;1,41144E-08;-3,15006E-06;0,000231467;-0,001623687;
40_1_2;;;7,70043E-09;-1,41723E-06;8,92021E-05;0,001854649;
40_3_2;;;8,24467E-09;-1,70959E-06;0,000119499;0,000911104;
40_4_2;;;8,03917E-09;-1,91273E-06;0,000151987;-0,000600311;
99_1_2;;;7,90487E-08;-1,18886E-05;0,000599046;-0,004182515;
99_3_2;;;8,00453E-08;-1,2012E-05;0,00060116;-0,00408975;
99_4_2;;;3,08121E-08;-4,84317E-06;0,000254107;0,000926963;
11_1_3;;;;;1,08385E-05;0,003770531;
11_3_3;;;;;8,27033E-06;0,004585029;-0,035845774
11_4_3;;;;;1,23613E-05;0,003363909;
11_5_3;;;9,8654E-10;-4,52175E-07;6,23867E-05;4,08423E-05;
11_6_3;;;1,45358E-09;-5,88296E-07;7,66115E-05;-0,000255273;
21_1_3;;;;;1,84908E-05;0,001750842;
21_3_3;;;;;1,94402E-05;0,002050601;
21_4_3;;;;;1,14727E-05;0,002140781;
21_5_3;;;;;1,03674E-05;0,001748665;
30_1_3;;;5,05803E-08;-1,01657E-05;0,00065313;-0,009029125;
30_3_3;;;2,58652E-08;-5,31592E-06;0,000356799;-0,003637222;
30_4_3;;;1,79733E-08;-3,86851E-06;0,000276299;-0,002616062;
30_5_3;;;1,1409E-08;-2,78467E-06;0,000226592;-0,002404943;
40_1_2;;;2,14334E-08;-4,42107E-06;0,000299148;-0,002798681;
40_4_2;;;6,86301E-09;-1,83181E-06;0,000163161;-0,001546453;
99_1_2;;;6,02621E-08;-9,63769E-06;0,000514806;-0,003551359;
99_4_2;;;3,14423E-08;-5,22301E-06;0,00029001;-6,33234E-05;